chron,title,date,abbrev,key
0,New Spring,2004-01-06,NS,ns
1,The Eye of the World,1990-01-15,TEotW,teotw
2,The Great Hunt,1990-11-15,TGH,tgh
3,The Dragon Reborn,1991-10-15,TDR,tdr
4,The Shadow Rising,1992-09-15,TSR,tsr
5,The Fires of Heaven,1993-10-15,TFoH,tfoh
6,Lord of Chaos,1994-10-15,LoC,loc
7,A Crown of Swords,1996-05-15,ACoS,acos
8,The Path of Daggers,1998-10-20,TPoD,tpod
9,Winter's Heart,2000-11-07,WH,wh
10,Crossroads of Twilight,2003-01-07,CoT,cot
11,Knife of Dreams,2005-10-11,KoD,kod
12,The Gathering Storm,2009-10-27,TGS,tgs
13,Towers of Midnight,2010-11-02,ToM,tom
14,A Memory of Light,2013-01-08,AMoL,amol
